Micro. Un editor normal para terminal,micro-un-editor-normal-para-terminal,No puede ser tan dificil utilizar la terminal y menos| un editor de texto con tantos atajos raros como en Emacs| Vim o Nano.,2022-03-24,editor,micro,terminal,,,,,,,,,22:50,./images-blog/Micro._Un_editor_normal_para_terminal.png
Reemplazar texto de uno o varios archivos con dired en Emacs,reemplazar-texto-de-uno-o-varios-archivos-con-dired-en-emacs,Cuando hay un error de sincronización con las notas en [[https://play.google.com/store/apps/details?id=org.eu.thedoc.zettelnotes:DESCRIPTION:hl=es:DESCRIPTION:gl=US][Zettel Notes]]| aparece en la línea con error el siguiente símbolo =~~=.,2022-03-08,emacs,dired,,,,,,,,,,09:45,./images-blog/emacs.png
Editando CSV usando Emacs,editando-csv-usando-emacs,Edito muchos archivos CSV (valores separados por comas) y aunque puedo hacerlo con un programa de hoja de cálculo| me resulta más rápido hacerlo con Emacs.,2021-07-28,emacs,csv,,,,,,,,,,19:45,./images-blog/emacs.png
Wallabag en Emacs,wallabag-en-emacs,Hay publicado un nuevo paquete de wallabag para Emacs en GitHub. De momento no está disponible en Melpa u otros repositorios| así que si quieres hacer uso| tienes que clonar,2021-04-15,emacs,wallabag,,,,,,,,,,18:50,./images-blog/wallabag2.png
Borrando líneas en blanco de un texto con Emacs,borrando-lineas-en-blanco-de-un-texto-con-emacs,A veces cuando copio un documento en la terminal| lo hace dejando líneas en blanco entre líneas. Para eliminar esto con Emacs es muy sencillo:,2020-10-26,emacs,terminal,,,,,,,,,,18:45,./images-blog/emacs.png
Añadiendo texto al principio de cada línea en Emacs,anadiendo-texto-al-principio-de-cada-linea-en-emacs,Como podéis imaginar| yo creo y edito mis scripts con Emacs. Hay momentos en los que quiero añadir "#" en un bloque de código para que no se ejecute| o,2020-10-24,emacs,bash,script,,,,,,,,,11:30,./images-blog/emacs.png
Visualizar aparte una Cabecera de un OrgMode en Emacs,visualizar-aparte-una-cabecera-de-un-orgmode-en-emacs,Hay momentos| al menos a mi me pasa| de todas las notas que voy registrando en mi orgmode| quiero exporta una ya sea en formato txt| pdf| markdown|...,2020-09-03,emacs,orgmode,,,,,,,,,,18:45,./images-blog/orgmode.png
Compilar Emacs 27.1 para Ubuntu| Debian| Raspbian y derivadas,compilando-emacs-27-ubuntu-debian-raspbian,En el Artículo anterior compilamos Nano y ahora toca el turno de Emacs. Los que utilizamos Debian| Ubuntu| Raspbian... tenemos el problema que en los repositorios oficiales| no encontramos nunca,2020-08-12,emacs,bash,zsh,compilar,,,,,,,,22:10,./images-blog/emacs.png
Cliente de escritorio para editar archivos de una nube privada (WebDav| Nextcloud|...) o pública (Drive| Dropbox| OneDrive...) con rclone,cliente-de-escritorio-para-editar-archivos-de-una-nube-privada-(webdav-nextcloud--)-o-publica-(drive-dropbox-onedrive--)-con-rclone,Muchos me habéis preguntado como edito con emacs mis archivos orgmode que tengo en mi nube webdav| así como mi archivo todo.txt.,2020-06-22,rclone,webdav,nextcloud,dropbox,nube,ssh,,,,,,20:15,./images-blog/rclone.png
Habilitar el modo-org en Emacs| cuando abras un archivo txt o markdown,habilitar-el-modo-org-en-emacs-cuando-abras-un-archivo-txt-o-markdown,Es posible que te interese el habilitar el modo org cuando abras un archivos .txt o markdown.,2020-06-16,emacs,joplin,simplenote,,,,,,,,,22:22,./images-blog/emacs.png
